id,name,pref,area,home,original,simple,format,princess,luxury
1832,ホテルモントレ ラ・スール大阪,大阪府,大阪市北部・北摂・京阪,5,4,4,12,6,6
1833,メルパルクNAGOYA,愛知県,名古屋市・周辺,4,3,5,11,2,3
1835,ホテルモントレ京都,京都府,京都市・周辺,4,3,4,9,5,5
1838,THE GRAND CREER（ザ グランクレール）,愛知県,名古屋市・周辺,3,3,4,11,3,5
1839,ホテルモントレ大阪,大阪府,大阪市北部・北摂・京阪,4,3,5,13,5,5
1840,BIANCARA MARINA TERRACE（ビアンカーラ マリーナテラス）,愛知県,尾張・知多・りんくう,5,6,5,9,4,7
1841,CREER BAYSIDE（クレール ベイサイド）,愛知県,名古屋市・周辺,4,5,3,9,3,4
1842,CLUB DE CREER GEIHINKAN（クラブ ドゥ クレール ゲイヒンカン),愛知県,尾張・知多・りんくう,4,6,5,9,6,7
1843,BIANCARA HILLSIDE TERRACE（ビアンカーラヒルサイドテラス）,愛知県,名古屋市・周辺,2,5,3,10,2,6
1845,ハイアットリージェンシー大阪,大阪府,大阪市南部・東大阪,5,5,4,12,5,7
1847,ホテルモントレ グラスミア大阪,大阪府,大阪市南部・東大阪,4,3,4,11,6,7
1850,ホテルニューオータニ大阪,大阪府,大阪市北部・北摂・京阪,4,4,3,9,4,7
1854,KKRホテル大阪,大阪府,大阪市北部・北摂・京阪,4,3,4,11,3,5
1857,ラグナヴェール スカイテラス（LAGUNAVEIL SkyTerrace）,埼玉県,大宮・さいたま・浦和・川口周辺,5,5,6,10,6,5
1859,THE PLAZA (ホテルプラザ勝川）,愛知県,尾張・知多・りんくう,2,2,2,11,3,4
1860,デゼーロ（deuxzero）,兵庫県,神戸・淡路島・阪神間,3,6,4,13,3,5
1861,オペラ・ドメーヌ高麗橋,大阪府,大阪市北部・北摂・京阪,1,4,4,9,2,2
1865,The Private Garden FURIAN 山ノ上迎賓館,滋賀県,滋賀県全域,2,4,4,11,4,5
1868,ザ・リッツ・カールトン京都,京都府,京都市・周辺,4,4,6,18,4,10
1871,ウエディングマナーハウス ラヴィーナ姫路,兵庫県,播磨,4,2,4,9,3,7
1874,帝国ホテル 大阪,大阪府,大阪市北部・北摂・京阪,4,2,4,12,4,7
1875,千里阪急ホテル,大阪府,大阪市北部・北摂・京阪,5,3,4,11,5,7
1883,神戸セントモルガン教会,兵庫県,神戸・淡路島・阪神間,3,5,4,12,5,7
1884,大阪セントバース教会,大阪府,大阪市南部・東大阪,3,5,3,10,4,6
1886,ラ・メゾン Suite（りんくう）,大阪府,堺・南大阪,5,4,5,11,5,4
1887,ラ・メゾン Suite 姫路,兵庫県,播磨,5,4,4,8,5,4
1894,VILLA de ESPOIR,千葉県,柏・成田・房総・その他,6,6,4,12,6,6
1895,シェラトン都ホテル大阪,大阪府,大阪市南部・東大阪,3,2,4,11,4,7
1897,リーガロイヤルホテル（大阪）,大阪府,大阪市北部・北摂・京阪,4,3,3,11,4,7
1905,ロイヤルガーデン,大阪府,大阪市北部・北摂・京阪,5,4,4,13,4,4
1906,ザ・エクセレントヒルズ神戸北野,兵庫県,神戸・淡路島・阪神間,5,4,4,9,2,4
1908,京都セントアンドリュース教会,京都府,京都市・周辺,2,3,2,11,6,5
1909,THE GRASS HOUSE　グラスハウス 桜の杜,愛知県,名古屋市・周辺,4,4,2,11,2,4
1910,ローズガーデン新宿,東京都,新宿・中野・杉並,6,4,5,8,3,2
1915,ヴィラ・アンジェリカ近江八幡,滋賀県,滋賀県全域,4,3,4,9,3,5
1916,迎賓館,大阪府,大阪市北部・北摂・京阪,4,4,3,10,4,6
1918,太閤園,大阪府,大阪市北部・北摂・京阪,5,2,4,12,4,6
1922,上賀茂神社,京都府,京都市・周辺,0,0,3,5,1,2
1925,Ｍｉａ　Ｖｉａ,大阪府,大阪市北部・北摂・京阪,6,5,3,12,5,6
1929,InStyle wedding KYOTO(インスタイルウエディング京都),京都府,京都市・周辺,4,3,4,9,3,3
1931,京都くろちく（THE KUROCHIKU BRIDAL）,京都府,京都市・周辺,3,3,4,8,4,2
1932,エスタシオン・デ・神戸,兵庫県,神戸・淡路島・阪神間,4,2,4,12,6,7
1935,神戸迎賓館　旧西尾邸,兵庫県,神戸・淡路島・阪神間,4,3,4,10,3,5
1936,FUNATSURU KYOTO KAMOGAWA RESORT,京都府,京都市・周辺,4,3,2,11,3,6
1941,THE MARCUS SQUARE KOBE,兵庫県,神戸・淡路島・阪神間,4,1,4,10,3,6
1942,The Opera,愛知県,名古屋市・周辺,2,3,4,3,0,2
1945,小さな結婚式　大阪ハービスENT店,大阪府,大阪市北部・北摂・京阪,0,5,4,6,1,1
1950,小さな結婚式　京都店,京都府,京都市・周辺,0,4,4,5,2,1
1951,小さな結婚式　表参道店,東京都,青山・表参道・渋谷・原宿,2,1,7,4,1,0
1952,小さな結婚式　浦和店,埼玉県,大宮・さいたま・浦和・川口周辺,2,3,8,3,1,1
1953,小さな結婚式　品川ベイサイド店,東京都,品川・目黒・浜松町・世田谷,2,3,7,11,1,2
1957,NIHO,滋賀県,滋賀県全域,6,3,3,10,6,6
1961,ノートルダム神戸,兵庫県,神戸・淡路島・阪神間,5,3,1,12,4,6
1973,フォーチュンガーデン京都（FORTUNE GARDEN KYOTO）,京都府,京都市・周辺,7,3,4,11,4,5
1974,ORIENTAL HOTEL,兵庫県,神戸・淡路島・阪神間,5,4,3,14,4,6
1975,大阪市中央公会堂,大阪府,大阪市北部・北摂・京阪,2,1,1,8,2,5
1979,THE SODOH HIGASHIYAMA KYOTO,京都府,京都市・周辺,6,4,4,11,4,6
1980,THE GARDEN ORIENTAL OSAKA,大阪府,大阪市北部・北摂・京阪,6,4,3,11,4,5
1981,小さな結婚式　名古屋店,愛知県,名古屋市・周辺,3,3,5,8,2,4
1983,名古屋　河文,愛知県,名古屋市・周辺,3,4,2,12,1,4
1984,大阪城西の丸庭園 大阪迎賓館,大阪府,大阪市北部・北摂・京阪,3,3,2,9,1,5
1985,北野異人館 旧レイン邸,兵庫県,神戸・淡路島・阪神間,4,4,2,9,5,6
1986,ザ・ヒルサイド神戸,兵庫県,神戸・淡路島・阪神間,5,5,4,9,2,4
1988,AKAGANE RESORT KYOTO HIGASHIYAMA,京都府,京都市・周辺,4,4,2,9,3,4
